UserId;GroupId;Hand;Object;Errors;ImpactPoints;Time
0;1;right;055_baseball;Thumb_3:0.01985 Index_3:0.64404 Middle_3:2.165762 Ring_3:-0.17474 Pinky_3:0.0 Thumb_2:1.136924 Index_2:0.341433 Middle_2:1.364498 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.025 Y=15.657 Z=142.990 Index_3:X=199.691 Y=16.333 Z=148.896 Middle_3:X=200.775 Y=17.998 Z=148.765 Ring_3:X=201.444 Y=19.618 Z=147.276 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.001 Y=17.866 Z=143.097 Index_2:X=197.519 Y=17.058 Z=147.975 Middle_2:X=198.517 Y=18.822 Z=148.341 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;0.866852
0;1;right;056_tennis_ball;Thumb_3:-0.341399 Index_3:2.78699 Middle_3:0.536598 Ring_3:-0.652323 Pinky_3:0.0 Thumb_2:0.39954 Index_2:1.489333 Middle_2:0.02324 Ring_2:-0.226175 Pinky_2:0.0 ;Thumb_3:X=201.646 Y=17.304 Z=143.243 Index_3:X=202.423 Y=18.880 Z=148.122 Middle_3:X=203.806 Y=20.453 Z=147.418 Ring_3:X=203.858 Y=21.880 Z=145.049 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=200.367 Y=18.899 Z=142.720 Index_2:X=200.423 Y=19.126 Z=147.818 Middle_2:X=201.479 Y=20.854 Z=147.925 Ring_2:X=201.989 Y=22.369 Z=146.348 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.08905
0;1;right;057_racquetball;Thumb_3:0.043288 Index_3:1.829952 Middle_3:0.0 Ring_3:0.0 Pinky_3:0.0 Thumb_2:0.150712 Index_2:0.251408 Middle_2:1.72463 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.682 Y=17.829 Z=145.452 Index_3:X=201.558 Y=20.690 Z=147.536 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.399 Y=18.918 Z=144.317 Index_2:X=199.431 Y=20.878 Z=148.555 Middle_2:X=200.406 Y=22.199 Z=147.450 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;0.911316
0;1;right;058_golf_ball;Thumb_3:-0.007293 Index_3:5.373943 Middle_3:0.116621 Ring_3:0.0 Pinky_3:0.0 Thumb_2:1.396121 Index_2:4.914547 Middle_2:0.052874 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=200.968 Y=17.487 Z=144.135 Index_3:X=202.244 Y=19.516 Z=146.082 Middle_3:X=203.432 Y=19.653 Z=144.536 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=200.151 Y=18.997 Z=143.038 Index_2:X=202.552 Y=19.356 Z=145.941 Middle_2:X=201.814 Y=20.763 Z=145.540 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;0.978027
0;1;right;061_foam_brick;Thumb_3:-0.173042 Index_3:2.649637 Middle_3:0.0 Ring_3:0.0 Pinky_3:0.0 Thumb_2:0.0 Index_2:0.151883 Middle_2:0.083947 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=200.926 Y=19.080 Z=142.904 Index_3:X=201.129 Y=19.679 Z=148.583 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=0.000 Y=0.000 Z=0.000 Index_2:X=197.489 Y=19.362 Z=147.454 Middle_2:X=199.248 Y=21.216 Z=148.914 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;0.855865
0;1;right;072_a_toy_airplane;Thumb_3:-1.870717 Index_3:-5.59943 Middle_3:1.232993 Ring_3:2.195627 Pinky_3:-5.976732 Thumb_2:4.891437 Index_2:2.28547 Middle_2:2.519578 Ring_2:2.61979 Pinky_2:0.0 ;Thumb_3:X=193.252 Y=13.929 Z=148.393 Index_3:X=194.678 Y=16.495 Z=156.834 Middle_3:X=195.016 Y=19.242 Z=151.462 Ring_3:X=195.339 Y=21.634 Z=150.887 Pinky_3:X=198.210 Y=21.354 Z=150.542 Thumb_2:X=193.247 Y=21.493 Z=149.899 Index_2:X=192.945 Y=19.035 Z=149.837 Middle_2:X=193.154 Y=20.788 Z=150.196 Ring_2:X=193.419 Y=21.937 Z=150.422 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;0.955536
1;1;right;014_lemon;Thumb_3:1.057425 Index_3:0.889615 Middle_3:1.503543 Ring_3:0.014601 Pinky_3:0.0 Thumb_2:1.510194 Index_2:0.266986 Middle_2:0.341539 Ring_2:-0.22758 Pinky_2:0.0 ;Thumb_3:X=198.302 Y=21.402 Z=135.223 Index_3:X=200.378 Y=19.066 Z=134.529 Middle_3:X=199.986 Y=18.246 Z=134.508 Ring_3:X=198.391 Y=17.406 Z=134.560 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.972 Y=21.574 Z=133.808 Index_2:X=200.477 Y=20.280 Z=132.481 Middle_2:X=200.393 Y=18.706 Z=132.082 Ring_2:X=199.359 Y=17.588 Z=132.191 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;3.122322
1;1;right;003_cracker_box;Thumb_3:0.179391 Index_3:0.108827 Middle_3:1.404249 Ring_3:-0.911384 Pinky_3:0.0 Thumb_2:3.100728 Index_2:-0.426922 Middle_2:1.80148 Ring_2:1.440629 Pinky_2:0.0 ;Thumb_3:X=195.319 Y=14.705 Z=127.361 Index_3:X=199.239 Y=18.990 Z=131.916 Middle_3:X=201.603 Y=19.301 Z=128.870 Ring_3:X=202.167 Y=19.285 Z=126.553 Pinky_3:X=201.224 Y=21.343 Z=122.188 Thumb_2:X=196.479 Y=17.436 Z=125.002 Index_2:X=196.406 Y=19.662 Z=130.580 Middle_2:X=198.729 Y=20.020 Z=127.343 Ring_2:X=198.473 Y=20.289 Z=125.210 Pinky_2:X=199.426 Y=23.384 Z=122.188 ;4.222725
1;1;right;004_sugar_box;Thumb_3:0.286915 Index_3:3.044104 Middle_3:1.200228 Ring_3:0.508894 Pinky_3:0.0 Thumb_2:3.13846 Index_2:0.226959 Middle_2:0.402453 Ring_2:0.575062 Pinky_2:0.0 ;Thumb_3:X=195.328 Y=15.041 Z=133.632 Index_3:X=199.024 Y=16.813 Z=134.955 Middle_3:X=200.557 Y=16.570 Z=133.124 Ring_3:X=201.264 Y=17.240 Z=131.813 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.487 Y=18.213 Z=131.321 Index_2:X=196.923 Y=19.288 Z=136.141 Middle_2:X=199.048 Y=19.513 Z=133.587 Ring_2:X=200.297 Y=20.144 Z=131.778 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.877579
1;1;right;005_tomato_soup_can;Thumb_3:0.09718 Index_3:0.0 Middle_3:0.0 Ring_3:0.0 Pinky_3:0.0 Thumb_2:2.098275 Index_2:0.076713 Middle_2:2.214755 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=195.556 Y=16.750 Z=131.507 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.277 Y=17.988 Z=127.996 Index_2:X=200.105 Y=20.113 Z=130.260 Middle_2:X=201.723 Y=19.363 Z=128.082 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;3.600372
1;1;right;006_mustard_bottle;Thumb_3:-0.350906 Index_3:0.525402 Middle_3:3.428057 Ring_3:0.072873 Pinky_3:-0.096864 Thumb_2:0.266214 Index_2:-0.492672 Middle_2:2.81425 Ring_2:2.201471 Pinky_2:1.984675 ;Thumb_3:X=197.250 Y=16.358 Z=135.204 Index_3:X=199.723 Y=20.454 Z=136.231 Middle_3:X=200.385 Y=20.162 Z=133.357 Ring_3:X=200.521 Y=20.307 Z=131.431 Pinky_3:X=199.861 Y=20.769 Z=129.405 Thumb_2:X=195.549 Y=17.247 Z=132.910 Index_2:X=196.958 Y=21.109 Z=136.662 Middle_2:X=198.079 Y=20.965 Z=133.173 Ring_2:X=197.655 Y=21.224 Z=130.905 Pinky_2:X=197.206 Y=21.472 Z=128.539 ;3.322281
1;1;right;007_tuna_fish_can;Thumb_3:-0.729905 Index_3:-1.816049 Middle_3:1.45157 Ring_3:-1.070466 Pinky_3:-5.023738 Thumb_2:-0.024386 Index_2:-0.596344 Middle_2:3.230377 Ring_2:3.299623 Pinky_2:0.0 ;Thumb_3:X=199.857 Y=17.877 Z=132.553 Index_3:X=202.396 Y=18.236 Z=135.299 Middle_3:X=201.307 Y=20.893 Z=134.056 Ring_3:X=202.690 Y=22.495 Z=133.511 Pinky_3:X=203.482 Y=23.089 Z=132.622 Thumb_2:X=197.649 Y=20.128 Z=131.905 Index_2:X=198.574 Y=18.233 Z=135.456 Middle_2:X=198.789 Y=21.795 Z=133.886 Ring_2:X=197.762 Y=23.903 Z=133.585 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.322281
1;1;right;008_pudding_box;Thumb_3:0.180254 Index_3:0.995933 Middle_3:-0.076259 Ring_3:-1.301178 Pinky_3:-0.835958 Thumb_2:1.465796 Index_2:1.80858 Middle_2:-0.974528 Ring_2:0.265548 Pinky_2:1.362166 ;Thumb_3:X=201.233 Y=19.297 Z=132.372 Index_3:X=202.743 Y=17.625 Z=138.357 Middle_3:X=203.961 Y=20.173 Z=134.204 Ring_3:X=204.012 Y=22.346 Z=132.119 Pinky_3:X=203.067 Y=24.394 Z=132.035 Thumb_2:X=199.765 Y=22.036 Z=132.572 Index_2:X=201.436 Y=18.738 Z=137.270 Middle_2:X=202.186 Y=20.556 Z=137.063 Ring_2:X=202.031 Y=23.255 Z=135.055 Pinky_2:X=201.208 Y=26.016 Z=134.137 ;2.178177
1;1;right;009_gelatin_box;Thumb_3:0.197248 Index_3:3.158183 Middle_3:-3.098976 Ring_3:-5.053694 Pinky_3:-7.564281 Thumb_2:0.695471 Index_2:2.206085 Middle_2:0.91347 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=197.894 Y=19.575 Z=137.381 Index_3:X=199.293 Y=18.847 Z=141.286 Middle_3:X=202.828 Y=18.578 Z=139.311 Ring_3:X=203.734 Y=20.512 Z=136.276 Pinky_3:X=204.106 Y=21.417 Z=134.777 Thumb_2:X=196.794 Y=21.038 Z=136.463 Index_2:X=197.780 Y=19.585 Z=141.354 Middle_2:X=198.231 Y=21.266 Z=139.580 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.544662
1;1;right;010_potted_meat_can;Thumb_3:0.191978 Index_3:0.0 Middle_3:3.260781 Ring_3:0.328557 Pinky_3:0.0 Thumb_2:1.755879 Index_2:1.962193 Middle_2:0.237564 Ring_2:-0.545529 Pinky_2:0.0 ;Thumb_3:X=196.488 Y=19.125 Z=135.019 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=198.199 Y=14.407 Z=133.218 Ring_3:X=196.606 Y=13.476 Z=132.578 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=195.358 Y=17.843 Z=131.703 Index_2:X=200.463 Y=16.769 Z=131.570 Middle_2:X=200.262 Y=14.867 Z=130.463 Ring_2:X=198.738 Y=14.011 Z=129.818 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;3.255768
1;1;right;011_banana;Thumb_3:-0.567575 Index_3:0.963978 Middle_3:2.951795 Ring_3:1.086411 Pinky_3:0.03147 Thumb_2:0.575853 Index_2:-0.463302 Middle_2:2.208521 Ring_2:1.526776 Pinky_2:0.88604 ;Thumb_3:X=197.303 Y=14.615 Z=129.385 Index_3:X=198.505 Y=17.189 Z=128.901 Middle_3:X=197.113 Y=18.434 Z=129.489 Ring_3:X=195.599 Y=19.731 Z=130.002 Pinky_3:X=194.669 Y=20.942 Z=130.657 Thumb_2:X=195.962 Y=16.026 Z=131.162 Index_2:X=200.064 Y=16.490 Z=130.089 Middle_2:X=197.842 Y=18.700 Z=130.497 Ring_2:X=196.618 Y=20.331 Z=130.983 Pinky_2:X=195.709 Y=21.867 Z=131.683 ;2.800323
1;1;right;012_strawberry;Thumb_3:-0.087496 Index_3:0.898532 Middle_3:0.65194 Ring_3:0.0 Pinky_3:0.0 Thumb_2:0.867686 Index_2:0.604362 Middle_2:0.156367 Ring_2:-0.223582 Pinky_2:0.0 ;Thumb_3:X=197.605 Y=15.821 Z=134.298 Index_3:X=199.658 Y=17.378 Z=135.812 Middle_3:X=200.006 Y=17.852 Z=134.337 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.375 Y=17.120 Z=133.760 Index_2:X=198.395 Y=18.105 Z=136.454 Middle_2:X=199.090 Y=18.922 Z=135.652 Ring_2:X=199.340 Y=19.768 Z=133.715 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.333282
1;1;right;013_apple;Thumb_3:-0.605195 Index_3:3.700458 Middle_3:-0.37188 Ring_3:0.0 Pinky_3:0.0 Thumb_2:-0.361759 Index_2:2.302119 Middle_2:-0.511569 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=195.759 Y=18.516 Z=142.229 Index_3:X=200.904 Y=16.425 Z=138.729 Middle_3:X=198.987 Y=13.820 Z=138.405 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=194.935 Y=18.816 Z=140.207 Index_2:X=200.742 Y=17.529 Z=138.292 Middle_2:X=200.010 Y=15.968 Z=137.032 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.378082
1;1;right;002_master_chef_can;Thumb_3:-0.044131 Index_3:2.526722 Middle_3:0.0 Ring_3:0.734623 Pinky_3:-1.187069 Thumb_2:0.858469 Index_2:-0.049067 Middle_2:1.448926 Ring_2:0.279494 Pinky_2:0.0 ;Thumb_3:X=201.236 Y=12.038 Z=139.219 Index_3:X=204.757 Y=16.306 Z=141.702 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=205.377 Y=18.202 Z=137.538 Pinky_3:X=205.408 Y=19.053 Z=136.444 Thumb_2:X=200.244 Y=14.085 Z=137.363 Index_2:X=201.514 Y=17.067 Z=142.540 Middle_2:X=203.151 Y=18.616 Z=140.174 Ring_2:X=203.637 Y=19.750 Z=138.222 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.066864
1;1;right;015_peach;Thumb_3:0.108876 Index_3:1.035074 Middle_3:2.624726 Ring_3:1.287294 Pinky_3:0.0 Thumb_2:0.240557 Index_2:0.191757 Middle_2:1.272186 Ring_2:0.753692 Pinky_2:0.0 ;Thumb_3:X=199.223 Y=16.562 Z=137.401 Index_3:X=201.630 Y=19.124 Z=139.388 Middle_3:X=202.031 Y=19.792 Z=138.038 Ring_3:X=201.059 Y=20.747 Z=136.119 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=197.683 Y=17.585 Z=136.291 Index_2:X=199.812 Y=19.336 Z=140.220 Middle_2:X=200.378 Y=21.153 Z=139.084 Ring_2:X=200.471 Y=21.842 Z=137.518 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.966873
1;1;right;016_pear;Thumb_3:0.151282 Index_3:1.864742 Middle_3:2.855442 Ring_3:0.304429 Pinky_3:-0.143307 Thumb_2:0.225459 Index_2:0.470498 Middle_2:1.114257 Ring_2:0.074843 Pinky_2:0.0 ;Thumb_3:X=198.182 Y=15.107 Z=138.225 Index_3:X=201.001 Y=17.663 Z=138.986 Middle_3:X=201.702 Y=18.126 Z=137.965 Ring_3:X=201.863 Y=18.360 Z=136.273 Pinky_3:X=201.009 Y=19.234 Z=134.568 Thumb_2:X=196.882 Y=15.768 Z=136.638 Index_2:X=198.896 Y=18.758 Z=139.920 Middle_2:X=200.068 Y=19.904 Z=138.870 Ring_2:X=200.824 Y=20.311 Z=137.389 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.244553
1;1;right;017_orange;Thumb_3:0.308332 Index_3:3.017654 Middle_3:0.0 Ring_3:1.2837 Pinky_3:0.0 Thumb_2:0.183028 Index_2:0.454659 Middle_2:1.363245 Ring_2:0.844799 Pinky_2:0.0 ;Thumb_3:X=198.395 Y=15.698 Z=137.199 Index_3:X=202.940 Y=18.087 Z=136.776 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=202.718 Y=18.205 Z=133.897 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.914 Y=16.774 Z=135.859 Index_2:X=200.726 Y=20.488 Z=137.775 Middle_2:X=201.970 Y=20.722 Z=136.204 Ring_2:X=201.859 Y=20.350 Z=134.074 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.445023
1;1;right;018_plum;Thumb_3:0.056336 Index_3:0.902743 Middle_3:1.505627 Ring_3:-0.139064 Pinky_3:0.0 Thumb_2:0.182671 Index_2:0.224092 Middle_2:0.678818 Ring_2:-0.296832 Pinky_2:0.0 ;Thumb_3:X=198.390 Y=16.882 Z=133.520 Index_3:X=200.750 Y=18.140 Z=132.846 Middle_3:X=201.025 Y=18.336 Z=132.109 Ring_3:X=200.347 Y=18.097 Z=130.361 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.818 Y=17.308 Z=132.668 Index_2:X=199.785 Y=19.701 Z=134.039 Middle_2:X=200.433 Y=20.404 Z=132.883 Ring_2:X=200.789 Y=20.167 Z=131.478 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.867462
1;1;right;021_bleach_cleanser;Thumb_3:-0.147098 Index_3:-0.029523 Middle_3:-0.154845 Ring_3:-0.542912 Pinky_3:-5.447289 Thumb_2:0.481949 Index_2:1.015572 Middle_2:-0.727227 Ring_2:0.759717 Pinky_2:0.214489 ;Thumb_3:X=193.346 Y=14.140 Z=129.741 Index_3:X=200.175 Y=10.990 Z=132.143 Middle_3:X=197.808 Y=14.248 Z=127.585 Ring_3:X=197.074 Y=16.365 Z=126.625 Pinky_3:X=194.787 Y=17.363 Z=123.897 Thumb_2:X=193.448 Y=17.111 Z=130.476 Index_2:X=198.765 Y=13.361 Z=132.415 Middle_2:X=199.121 Y=15.190 Z=130.349 Ring_2:X=198.293 Y=17.705 Z=129.000 Pinky_2:X=197.609 Y=20.086 Z=128.209 ;3.089371
1;1;right;030_fork;Thumb_3:-0.785477 Index_3:0.337375 Middle_3:0.172932 Ring_3:0.0 Pinky_3:0.0 Thumb_2:0.0 Index_2:0.467793 Middle_2:0.73737 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=203.444 Y=22.651 Z=133.484 Index_3:X=205.651 Y=24.154 Z=134.000 Middle_3:X=206.554 Y=24.933 Z=133.754 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=0.000 Y=0.000 Z=0.000 Index_2:X=203.880 Y=23.970 Z=134.650 Middle_2:X=205.172 Y=25.437 Z=134.455 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.322205
1;1;right;031_spoon;Thumb_3:0.0 Index_3:0.518528 Middle_3:0.488386 Ring_3:-3.288157 Pinky_3:-3.836015 Thumb_2:0.392123 Index_2:0.863895 Middle_2:0.0 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=0.000 Y=0.000 Z=0.000 Index_3:X=198.232 Y=21.908 Z=135.208 Middle_3:X=198.084 Y=21.926 Z=134.712 Ring_3:X=196.004 Y=21.212 Z=131.465 Pinky_3:X=195.674 Y=21.374 Z=131.295 Thumb_2:X=198.249 Y=22.265 Z=136.756 Index_2:X=199.410 Y=22.638 Z=136.994 Middle_2:X=0.000 Y=0.000 Z=0.000 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.678238
1;1;right;032_knife;Thumb_3:2.147361 Index_3:2.433663 Middle_3:1.754693 Ring_3:0.97614 Pinky_3:0.321458 Thumb_2:4.091851 Index_2:0.230028 Middle_2:0.311956 Ring_2:0.284872 Pinky_2:0.158267 ;Thumb_3:X=199.509 Y=23.299 Z=139.110 Index_3:X=200.045 Y=23.502 Z=139.442 Middle_3:X=199.417 Y=22.484 Z=138.235 Ring_3:X=199.194 Y=21.473 Z=137.058 Pinky_3:X=199.346 Y=20.532 Z=135.990 Thumb_2:X=198.995 Y=22.652 Z=137.503 Index_2:X=201.130 Y=25.144 Z=140.179 Middle_2:X=200.604 Y=23.368 Z=138.352 Ring_2:X=200.234 Y=22.023 Z=136.935 Pinky_2:X=199.910 Y=20.997 Z=135.311 ;2.389038
1;1;right;033_spatula;Thumb_3:-1.390654 Index_3:0.336779 Middle_3:0.487978 Ring_3:-0.885544 Pinky_3:-0.92937 Thumb_2:-0.926139 Index_2:0.329605 Middle_2:1.966649 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=193.807 Y=14.010 Z=128.481 Index_3:X=194.294 Y=16.651 Z=128.223 Middle_3:X=194.543 Y=17.574 Z=128.179 Ring_3:X=195.109 Y=19.714 Z=127.333 Pinky_3:X=195.097 Y=19.818 Z=127.259 Thumb_2:X=192.683 Y=14.734 Z=128.112 Index_2:X=193.595 Y=15.429 Z=129.477 Middle_2:X=193.591 Y=17.608 Z=129.255 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;3.04422
1;1;right;035_power_drill;Thumb_3:-0.665633 Index_3:0.0 Middle_3:0.090837 Ring_3:0.544203 Pinky_3:-0.794842 Thumb_2:0.106648 Index_2:3.105912 Middle_2:1.041317 Ring_2:1.796233 Pinky_2:0.0 ;Thumb_3:X=197.534 Y=19.400 Z=136.641 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=199.523 Y=15.779 Z=134.789 Ring_3:X=197.360 Y=16.029 Z=132.940 Pinky_3:X=195.597 Y=16.331 Z=131.512 Thumb_2:X=196.157 Y=20.175 Z=134.339 Index_2:X=201.406 Y=17.767 Z=135.461 Middle_2:X=199.281 Y=16.763 Z=133.397 Ring_2:X=197.418 Y=16.519 Z=131.865 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.989105
1;1;right;037_scissors;Thumb_3:-0.07836 Index_3:0.435047 Middle_3:0.900548 Ring_3:0.217696 Pinky_3:-0.624035 Thumb_2:-0.754344 Index_2:0.32823 Middle_2:0.821973 Ring_2:0.449123 Pinky_2:-0.109246 ;Thumb_3:X=198.959 Y=20.406 Z=134.079 Index_3:X=199.973 Y=23.899 Z=135.799 Middle_3:X=199.946 Y=24.960 Z=136.026 Ring_3:X=199.567 Y=26.370 Z=136.032 Pinky_3:X=198.830 Y=27.824 Z=135.667 Thumb_2:X=196.609 Y=21.540 Z=132.328 Index_2:X=199.280 Y=22.708 Z=136.203 Middle_2:X=199.317 Y=24.460 Z=136.750 Ring_2:X=199.115 Y=25.870 Z=136.831 Pinky_2:X=198.205 Y=27.746 Z=136.414 ;2.433899
1;1;right;040_large_marker;Thumb_3:0.962466 Index_3:0.724189 Middle_3:1.040152 Ring_3:0.742398 Pinky_3:0.300822 Thumb_2:3.787263 Index_2:0.171052 Middle_2:0.257135 Ring_2:0.271977 Pinky_2:0.298837 ;Thumb_3:X=198.895 Y=19.284 Z=140.033 Index_3:X=200.003 Y=18.928 Z=140.245 Middle_3:X=199.509 Y=19.029 Z=138.222 Ring_3:X=199.245 Y=19.270 Z=136.396 Pinky_3:X=199.556 Y=19.394 Z=135.008 Thumb_2:X=198.766 Y=20.280 Z=137.195 Index_2:X=200.199 Y=19.982 Z=140.862 Middle_2:X=200.326 Y=19.882 Z=138.601 Ring_2:X=200.315 Y=19.851 Z=136.707 Pinky_2:X=200.265 Y=20.167 Z=134.506 ;2.46698
1;1;right;042_adjustable_wrench;Thumb_3:0.741112 Index_3:0.768121 Middle_3:0.220001 Ring_3:-0.133289 Pinky_3:0.195 Thumb_2:-0.961056 Index_2:-0.100426 Middle_2:0.266656 Ring_2:0.229885 Pinky_2:0.189054 ;Thumb_3:X=197.316 Y=23.682 Z=138.331 Index_3:X=196.648 Y=24.253 Z=138.205 Middle_3:X=195.890 Y=24.867 Z=137.178 Ring_3:X=195.528 Y=25.513 Z=135.263 Pinky_3:X=195.635 Y=25.497 Z=134.957 Thumb_2:X=196.217 Y=24.066 Z=140.493 Index_2:X=197.594 Y=23.366 Z=139.333 Middle_2:X=197.405 Y=23.926 Z=137.688 Ring_2:X=196.969 Y=24.443 Z=135.920 Pinky_2:X=196.772 Y=24.910 Z=134.374 ;2.455811
1;1;right;043_phillips_screwdriver;Thumb_3:4.863109 Index_3:0.0 Middle_3:0.0 Ring_3:1.14556 Pinky_3:0.379364 Thumb_2:4.77706 Index_2:0.14713 Middle_2:0.172728 Ring_2:0.239967 Pinky_2:0.298018 ;Thumb_3:X=199.822 Y=22.222 Z=142.975 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=199.289 Y=20.854 Z=141.517 Pinky_3:X=198.610 Y=18.883 Z=139.522 Thumb_2:X=198.220 Y=23.036 Z=141.682 Index_2:X=202.451 Y=25.873 Z=142.227 Middle_2:X=201.396 Y=23.341 Z=141.162 Ring_2:X=200.076 Y=21.673 Z=140.312 Pinky_2:X=198.256 Y=19.825 Z=138.414 ;2.02243
1;1;right;044_flat_screwdriver;Thumb_3:-0.352437 Index_3:0.932334 Middle_3:0.976546 Ring_3:0.077784 Pinky_3:0.053122 Thumb_2:0.882897 Index_2:0.136679 Middle_2:-0.35405 Ring_2:0.399087 Pinky_2:0.0 ;Thumb_3:X=200.426 Y=24.556 Z=144.211 Index_3:X=203.200 Y=23.376 Z=143.584 Middle_3:X=199.287 Y=22.567 Z=142.726 Ring_3:X=197.250 Y=22.479 Z=141.454 Pinky_3:X=196.110 Y=22.197 Z=140.765 Thumb_2:X=198.626 Y=25.083 Z=142.795 Index_2:X=203.530 Y=24.551 Z=142.601 Middle_2:X=201.607 Y=23.053 Z=142.117 Ring_2:X=199.185 Y=22.696 Z=141.018 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.655975
1;1;right;048_hammer;Thumb_3:-1.085771 Index_3:0.02635 Middle_3:0.577806 Ring_3:-0.982856 Pinky_3:0.0 Thumb_2:-0.049473 Index_2:-0.9112 Middle_2:2.350224 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=195.834 Y=25.842 Z=134.377 Index_3:X=194.629 Y=28.825 Z=134.431 Middle_3:X=193.940 Y=29.440 Z=134.309 Ring_3:X=192.026 Y=31.090 Z=133.673 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=193.168 Y=26.724 Z=134.402 Index_2:X=195.652 Y=27.284 Z=136.152 Middle_2:X=192.765 Y=29.064 Z=135.648 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.233368
